image-1,image-2,t-im1,t-im2,t-diff,coord-1,coord-2,dist,vel
photo_00154.jpg,photo_00155.jpg,2022-01-14 15:25:07,2022-01-14 15:25:16,9,"(644.4750366210938, 659.4049682617188)","(1104.8143310546875, 676.8231811523438)",41.87897361335933,0.5885391758464097
photo_00155.jpg,photo_01929.jpg,2022-01-14 15:25:16,2022-01-14 21:12:25,20829,"(1104.8143310546875, 676.8231811523438)","(883.3536987304688, 549.5040893554688)",15.026500559009394,9.124546501049057e-05
photo_01929.jpg,photo_01930.jpg,2022-01-14 21:12:25,2022-01-14 21:12:34,9,"(1092.9600830078125, 708.4800415039062)","(112.32000732421875, 374.4000244140625)",6.952917829361486,0.09771167189529342
photo_01930.jpg,photo_01931.jpg,2022-01-14 21:12:34,2022-01-14 21:12:43,9,"(72.57601165771484, 228.09603881835938)","(485.22247314453125, 277.8624267578125)",1.1024843893379954,0.015493580618163296
photo_01931.jpg,photo_01932.jpg,2022-01-14 21:12:43,2022-01-14 21:12:50,7,"(350.85321044921875, 694.241455078125)","(793.7742919921875, 741.51953125)",0.8549658388494091,0.015448011328239036
photo_01932.jpg,photo_01933.jpg,2022-01-14 21:12:50,2022-01-14 21:12:59,9,"(800.4000244140625, 724.800048828125)","(1238.4000244140625, 770.4000244140625)",1.3676003065538378,0.019219342974769935
photo_01933.jpg,photo_01934.jpg,2022-01-14 21:12:59,2022-01-14 21:13:08,9,"(90.0, 602.4000244140625)","(550.800048828125, 651.6000366210938)",1.2424106407637558,0.017460010871533316
photo_01934.jpg,photo_01935.jpg,2022-01-14 21:13:08,2022-01-14 21:13:17,9,"(456.8556823730469, 674.8325805664062)","(907.7393798828125, 722.6083374023438)",1.1625840983806395,0.01633818186257592
photo_01935.jpg,photo_05515.jpg,2022-01-14 21:13:17,2022-01-15 08:26:06,40369,"(1206.83544921875, 549.9188232421875)","(1017.0, 982.0)",2.313453587216364,7.248274906763251e-06
photo_05515.jpg,photo_05516.jpg,2022-01-15 08:26:06,2022-01-15 08:26:15,9,"(787.9681396484375, 661.478515625)","(1244.16015625, 678.0673217773438)",2.133147344477596,0.029977830681058484
photo_05516.jpg,photo_05517.jpg,2022-01-15 08:26:15,2022-01-15 08:26:24,9,"(1263.1680908203125, 509.7600402832031)","(199.06564331054688, 87.09121704101562)",143.12161311152096,2.0113357362605746
